profile	coverage	EF
82	0.425974	metal binding
84	0.766234	alpha proton abstraction
64	0.876190	pKa control
81	0.907143	alpha proton abstraction
46	0.922294	metal binding
6	0.933117	not identified
48	0.938095	alpha proton abstraction
78	0.943074	metal binding
80	0.945455	alpha proton abstraction
8	0.946753	metal binding
25	0.947403	pKa control
9	0.947835	metal binding
11	0.948052	alpha proton abstraction
63	0.948052	other acid/base-related EFs
65	0.948052	not identified
66	0.948052	other acid/base-related EFs
24	0.948052	metal binding
20	0.948052	alpha proton abstraction
23	0.948052	metal binding
42	0.948052	not identified
40	0.948052	alpha proton abstraction
41	0.948052	not identified
7	0.948052	other acid/base-related EFs
15	0.948052	not identified
10	0.948052	metal binding
38	0.948052	metal binding
59	0.948052	metal binding
14	0.948052	alpha proton abstraction
55	0.948052	not identified
56	0.948052	pKa control
37	0.948052	metal binding
36	0.948052	metal binding
19	0.948052	not identified
33	0.948052	not identified
