clusters	FDR2
1	0.957096474954
2	0.949907235622
3	0.638450834879
4	0.605287569573
5	0.397495361781
6	0.397263450835
7	0.38659554731
8	0.38659554731
9	0.385667903525
10	0.385667903525
11	0.385667903525
12	0.319109461967
13	0.223330241187
14	0.223330241187
15	0.208951762523
16	0.208951762523
17	0.208951762523
18	0.132884972171
19	0.0916048237477
21	0.0916048237477
22	0.0916048237477
23	0.0855751391466
24	0.0897495361781
25	0.0897495361781
26	0.0888218923933
27	0.112940630798
28	0.105055658627
29	0.0809369202226
30	0.0658627087199
31	0.0630797773655
32	0.0628478664193
33	0.0895176252319
34	0.0895176252319
35	0.0895176252319
36	0.0895176252319
37	0.0895176252319
38	0.0895176252319
39	0.0936920222635
40	0.0936920222635
41	0.0841836734694
42	0.0839517625232
43	0.0839517625232
44	0.0647031539889
45	0.0647031539889
46	0.0644712430427
47	0.0644712430427
48	0.0642393320965
49	0.0681818181818
50	0.0681818181818
51	0.0681818181818
52	0.0656307977737
53	0.0656307977737
54	0.0656307977737
55	0.0656307977737
56	0.0656307977737
57	0.0656307977737
58	0.0656307977737
59	0.0746753246753
60	0.0746753246753
61	0.0746753246753
62	0.0746753246753
63	0.136131725417
64	0.136131725417
65	0.136131725417
66	0.136131725417
67	0.136131725417
68	0.136131725417
69	0.136131725417
70	0.136131725417
71	0.136131725417
72	0.136131725417
73	0.136131725417
74	0.136131725417
75	0.136131725417
76	0.136131725417
77	0.136131725417
78	0.136131725417
79	0.136131725417
80	0.136131725417
81	0.136131725417
82	0.136131725417
83	0.136363636364
84	0.136363636364
85	0.136363636364
87	0.136363636364
88	0.136363636364
89	0.136363636364
90	0.125927643785
91	0.125927643785
92	0.126159554731
93	0.126159554731
94	0.126159554731
95	0.124072356215
96	0.124072356215
97	0.124072356215
98	0.123840445269
99	0.123840445269
100	0.123840445269
101	0.125231910946
102	0.125231910946
103	0.125231910946
104	0.125231910946
105	0.125231910946
106	0.127087198516
108	0.125695732839
109	0.125695732839
110	0.125695732839
112	0.125695732839
113	0.125695732839
114	0.125695732839
115	0.125695732839
116	0.125927643785
117	0.125927643785
118	0.125927643785
119	0.125927643785
120	0.125463821892
121	0.125463821892
122	0.125463821892
123	0.125463821892
124	0.125
125	0.125463821892
126	0.125463821892
128	0.125231910946
129	0.125231910946
130	0.125231910946
131	0.125231910946
132	0.125231910946
134	0.125231910946
135	0.125231910946
136	0.125231910946
137	0.125231910946
138	0.125231910946
139	0.125231910946
140	0.125231910946
141	0.125231910946
142	0.125231910946
143	0.124768089054
144	0.125231910946
145	0.125231910946
146	0.125231910946
147	0.125231910946
148	0.125231910946
149	0.125231910946
150	0.125231910946
151	0.125231910946
152	0.125231910946
153	0.125231910946
154	0.124768089054
155	0.124768089054
156	0.124768089054
157	0.124768089054
158	0.124768089054
159	0.124768089054
160	0.124768089054
161	0.124768089054
162	0.124768089054
163	0.124768089054
164	0.124768089054
165	0.124768089054
166	0.124768089054
167	0.124768089054
168	0.124768089054
169	0.124768089054
171	0.124768089054
172	0.124768089054
173	0.124768089054
174	0.124768089054
175	0.124768089054
176	0.107606679035
177	0.107374768089
178	0.107374768089
179	0.107374768089
180	0.107374768089
181	0.107374768089
182	0.107374768089
183	0.107374768089
184	0.107374768089
186	0.107374768089
187	0.107374768089
188	0.107374768089
189	0.107374768089
190	0.10667903525
191	0.10667903525
192	0.107374768089
193	0.107374768089
194	0.107374768089
195	0.107374768089
196	0.107374768089
197	0.107374768089
198	0.107606679035
199	0.110853432282
200	0.110853432282
202	0.110853432282
203	0.110853432282
204	0.110853432282
205	0.110853432282
206	0.110853432282
207	0.110853432282
208	0.110853432282
209	0.110853432282
210	0.110853432282
211	0.110853432282
212	0.110853432282
213	0.110853432282
214	0.110853432282
216	0.110853432282
217	0.110853432282
218	0.110853432282
219	0.110853432282
221	0.110853432282
222	0.110853432282
223	0.110853432282
224	0.110853432282
225	0.110853432282
226	0.110853432282
227	0.110853432282
228	0.0918367346939
229	0.0918367346939
230	0.0918367346939
231	0.0918367346939
232	0.0918367346939
233	0.0920686456401
234	0.0920686456401
235	0.0920686456401
236	0.0920686456401
237	0.0920686456401
238	0.0920686456401
239	0.0920686456401
240	0.0920686456401
241	0.0920686456401
242	0.0920686456401
243	0.0920686456401
244	0.0920686456401
245	0.0920686456401
246	0.0920686456401
247	0.0918367346939
248	0.0918367346939
249	0.0918367346939
250	0.0918367346939
251	0.0918367346939
252	0.0918367346939
253	0.0918367346939
254	0.0918367346939
255	0.0918367346939
256	0.0918367346939
257	0.0916048237477
258	0.0916048237477
259	0.0916048237477
