number_of_clusters	number_of_active_clusters	number_of_orphans
1	1	0
2	2	0
3	3	0
4	4	0
5	5	0
6	6	0
7	7	0
8	8	0
9	9	0
10	10	0
11	11	0
12	12	0
13	12	1
14	9	5
15	10	5
16	11	5
17	12	5
18	13	5
19	14	5
21	14	7
22	15	7
23	14	9
24	15	9
25	16	9
26	17	9
27	18	9
28	19	9
29	19	10
30	18	12
31	19	12
32	18	14
33	18	15
34	19	15
35	20	15
36	21	15
37	22	15
38	22	16
39	23	16
40	23	17
41	23	18
42	24	18
43	25	18
44	26	18
45	27	18
46	27	19
47	28	19
48	29	19
49	30	19
50	31	19
51	32	19
52	32	20
53	31	22
54	31	23
55	32	23
56	33	23
57	33	24
58	34	24
59	34	25
60	35	25
61	36	25
62	37	25
63	38	25
64	39	25
65	40	25
66	40	26
67	41	26
68	42	26
69	42	27
70	43	27
71	44	27
72	44	28
73	45	28
74	46	28
75	46	29
76	47	29
77	47	30
78	44	34
79	45	34
80	46	34
81	47	34
82	48	34
83	49	34
84	50	34
85	50	35
87	50	37
88	50	38
89	51	38
90	52	38
91	52	39
92	53	39
93	51	42
94	52	42
95	52	43
96	52	44
97	53	44
98	53	45
99	56	43
100	49	51
101	47	54
102	45	57
103	44	59
104	46	58
105	47	58
106	47	59
108	46	62
109	46	63
110	46	64
112	46	66
113	47	66
114	47	67
115	48	67
116	48	68
117	49	68
118	49	69
119	49	70
120	49	71
121	48	73
122	47	75
123	48	75
124	47	77
125	48	77
126	48	78
128	46	82
129	47	82
130	48	82
131	47	84
132	47	85
134	47	87
135	43	92
136	44	92
137	42	95
138	42	96
139	42	97
140	42	98
141	43	98
142	44	98
143	42	101
144	46	98
145	46	99
146	46	100
147	47	100
148	47	101
149	47	102
150	48	102
151	49	102
152	49	103
153	49	104
154	50	104
155	51	104
156	52	104
157	53	104
158	54	104
159	55	104
160	55	105
161	56	105
162	56	106
163	55	108
164	55	109
165	56	109
166	57	109
167	54	113
168	54	114
169	52	117
171	51	120
172	52	120
173	53	120
174	54	120
175	52	123
176	50	126
177	50	127
178	51	127
179	52	127
180	51	129
181	50	131
182	50	132
183	51	132
184	52	132
186	50	136
187	51	136
188	50	138
189	51	138
190	50	140
191	50	141
192	52	140
193	52	141
194	53	141
195	50	145
196	51	145
197	50	147
198	50	148
199	45	154
200	41	159
202	42	160
203	41	162
204	39	165
205	39	166
206	40	166
207	41	166
208	41	167
209	41	168
210	41	169
211	42	169
212	42	170
213	43	170
214	43	171
216	44	172
217	44	173
218	44	174
219	44	175
221	43	178
222	43	179
223	42	181
224	40	184
225	40	185
226	39	187
227	38	189
228	37	191
229	38	191
230	38	192
231	38	193
232	38	194
233	37	196
234	37	197
235	37	198
236	36	200
237	36	201
238	36	202
239	36	203
240	36	204
241	35	206
242	36	206
243	35	208
244	36	208
245	37	208
246	38	208
247	35	212
248	35	213
249	35	214
250	32	218
251	31	220
252	32	220
253	33	220
254	34	220
255	35	220
256	35	221
257	35	222
258	36	222
259	37	222
